Sl No,New?,dataTagId,description,standardDescription,system,systemName,equipment,equipmentType,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureInstance,tagType,measureUnit,Remarks,designValue,goodDirection,lcl,ucl,manual,group,Design Value (100%),Design Parameters (80%)
143,,QCR_06704,O2 AT ECONOMIZER INLET,O2 AT ECONOMIZER INLET,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Inlet,Inlet,1,Flue Gas,O2,1,,%,,,,0,10,,Flue Gas Path,,
144,,TI_06209,ECONOMIZER FLUE GAS INLET TEMPERATURE,ECONOMIZER FLUE GAS INLET TEMPERATURE,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Inlet,Inlet,1,Flue Gas,Temperature,1,,DEG C,,,,0,600,,Flue Gas Path,550,
136,New,PI_01102,FW PRS AT ECON O/L,FEED WATER PRESSURE AT ECONOMIZER OUTLET,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Outlet,Outlet,1,Feed Water,Pressure,1,,KG/CM2,,,,,,,Feed Water Path,,
138,,TI_01218,FEED WATER TEMPERATURE AT ECONOMIZER OUTLET,FEED WATER TEMPERATURE AT ECONOMIZER OUTLET,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Outlet,Outlet,1,Feed Water,Temperature,1,,DEG C,,,,0,300,,Feed Water Path,285,
141,New,PI_06102_10,BOILER BANK O/L PRS,FLUE GAS PRESSURE AT ECONOMIZER INLET,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Outlet,Outlet,1,Flue Gas,Pressure,1,,MMWC,,,,,,,Flue Gas Path,,
145,New,TI_06209_P,BOILER BANK O/L DRAFT TEMP,FLUE GAS TEMPERATURE AT ECONOMIZER INLET,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Outlet,Outlet,1,Flue Gas,Pressure,1,,DEG C,,,,,,,Flue Gas Path,,
142,,PI_06102_11,ECONOMIZER OUTLET PRESSURE AT FLUE GAS PATH,ECONOMIZER OUTLET PRESSURE AT FLUE GAS PATH,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Outlet,Outlet,1,Flue Gas,Pressure,1,,MMWC,,,,-100,100,,Flue Gas Path,,
146,,TI_06210,ECONOMIZER FLUE GAS OUTLET TEMPERATURE,ECONOMIZER FLUE GAS OUTLET TEMPERATURE,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,Outlet,Outlet,1,Flue Gas,Temperature,1,,DEG C,,,,0,500,,Flue Gas Path,,
539,,HRenu_U5_Economizer_Approach,ECONOMIZER APPROACH,ECONOMIZER APPROACH,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,,,,Economizer,Approach,1,Derived,DEG C,,,,,,,Performance KPI,,
541,,HRenu_U5_Economizer_Effectiveness,ECONOMIZER EFFECTIVENESS,ECONOMIZER EFFECTIVENESS,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,,,,Economizer,Effectiveness,1,Derived,%,,,High,,,,Performance KPI,,
540,,HRenu_U5_Economizer_Temperature Potential,ECONOMIZER TEMPERATURE POTENTIAL,ECONOMIZER TEMPERATURE POTENTIAL,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,,,,Economizer,Potential,1,Derived,DEG C,,,,,,,Performance KPI,,
542,,HRenu_U5_Economizer_Heat_Pickup,ECONOMIZER HEAT PICKUP,ECONOMIZER HEAT PICKUP,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,,,,Feed Water,Heat Pick up,1,Derived,MCAL,,,High,,,,Performance KPI,,
538,,HRenu_U5_Economizer_FW_Temperature_rise,ECONOMIZER FW TEMPERATURE RISE,ECONOMIZER FW TEMPERATURE RISE,Boiler,PCFB,Economizer,,Economizer,1,,,,,,,,,,Feed Water,Temperature Rise,1,Derived,DEG C,,,High,,,,Performance KPI,,
148,New,PI_06102_15,ESP A I/ L DRAFT EAST (LEFT),FLUE GAS PRESSURE AT ESP INLET,Boiler,PCFB,ESP,,ESP A (EAST),1,,,,,,,Inlet,Inlet - East,1,Flue Gas,Pressure,1,,MMWC,,,,,,,Flue Gas Path,,
152,New,PI_06102_16,ESP B I/ L DRAFT WEST (LEFT),FLUE GAS PRESSURE AT ESP INLET,Boiler,PCFB,ESP,,ESP B (WEST),2,,,,,,,Inlet,Inlet - West,1,Flue Gas,Pressure,1,,MMWC,,,,,,,Flue Gas Path,,
153,New,TI_06213,FLUE GAS TEMP AT ESP B I/L,FLUE GAS TEMPERATURE AT ESP INLET,Boiler,PCFB,ESP,,ESP B (WEST),2,,,,,,,Inlet,Inlet - West,1,Flue Gas,Temperature,1,,DEG C,,,,,,,Flue Gas Path,149,
149,New,PI_06102_17,ESP A O/L PRS,FLUE GAS PRESSURE AT ESP OUTLET,Boiler,PCFB,ESP,,ESP A (EAST),1,,,,,,,Outlet,Outlet,1,Flue Gas,Pressure,1,,MMWC,,,,,,,Flue Gas Path,,
151,New,PI_06102_1,ESP B O/L PRS,FLUE GAS PRESSURE AT ESP OUTLET,Boiler,PCFB,ESP,,ESP B (WEST),2,,,,,,,Outlet,Outlet,1,Flue Gas,Pressure,1,,MMWC,,,,,,,Flue Gas Path,,
150,New,TI_06214,ESP A O/L TEMP,FLUE GAS TEMPERATURE AT ESP OUTLET,Boiler,PCFB,ESP,,ESP A (EAST),1,,,,,,,Outlet,Outlet,1,Flue Gas,Temperature,1,,DEG C,,,,,,,Flue Gas Path,144,
154,New,TI_06215,ESP B O/L TEMP,FLUE GAS TEMPERATURE AT ESP OUTLET,Boiler,PCFB,ESP,,ESP B (WEST),2,,,,,,,Outlet,Outlet,1,Flue Gas,Temperature,1,,DEG C,,,,,,,Flue Gas Path,144,
155,,TI_10204_C,FD FAN A DE TEMPERATURE,FD FAN DE TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Fan,Fan,1,Bearing,Fan Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,0,100,,Mechanical,,
156,,TI_10204_D,FD FAN A NDE TEMPERATURE,FD FAN NDE TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Fan,Fan,1,Bearing,Fan Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,0,100,,Mechanical,,
159,,TI_10204_A,FD FAN A MOTOR DE TEMPERATURE,FD FAN MOTOR DE TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,Bearing,Motor Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
160,,TI_10204_B,FD FAN A MOTOR NDE TEMPERATURE,FD FAN MOTOR NDE TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,Bearing,Motor Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
161,,TI_10204_E,FD FAN A MOTOR WINDING  TEMPERATURE,FD FAN MOTOR WINDING  TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
162,,TI_10204_F,FD FAN A MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,2,,DEG C,,,,0,300,,Mechanical,,
163,,TI_10204_G,FD FAN A MOTOR WINDING  TEMPERATURE,FD FAN MOTOR WINDING  TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,3,,DEG C,,,,0,300,,Mechanical,,
164,,TI_10204_H,FD FAN A MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,4,,DEG C,,,,0,300,,Mechanical,,
165,,TI_10204_I,FD FAN A MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,5,,DEG C,,,,0,300,,Mechanical,,
166,,TI_10204_J,FD FAN A MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,6,,DEG C,,,,0,300,,Mechanical,,
157,,FDF_A_VFD_I,FD FAN A CURRENT,FD FAN CURRENT,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Power,Current,1,,AMP,,,,0,1000,,Performance KPI,,
158,,FDF_A_VFD_SPD,FD FAN A ROTOR SPEED,FD FAN ROTOR SPEED,Boiler,PCFB,FD Fan,,FD Fan A,1,Motor,Motor,1,,,,,,,Rotor,Speed,1,,RPM,,,,0,950,,Mechanical,,
167,,FICRA_04301_AO_FB,FD FAN A DAMPER POSITION,FD FAN DAMPER POSITION,Boiler,PCFB,FD Fan,,FD Fan A,1,,,,Control Damper,Control Damper,1,,,,Position,Percentage,1,Feedback,%,,,,0,100,,Air Path,,
171,,TOT_AIR_FL,FD FAN A COMPENSATED AIR FLOW,FD FAN COMPENSATED AIR FLOW,Boiler,PCFB,FD Fan,,FD Fan A,1,,,,,,,Outlet,Discharge,1,Secondary Air,Flow,1,,TPH,,,,0,500,,Air Path,295.95,
168,,PI_06102_1,FD FAN A  DISCHARGE PRESSURE,FD FAN  DISCHARGE PRESSURE,Boiler,PCFB,FD Fan,,FD Fan A,1,,,,,,,Outlet,Discharge,1,Secondary Air,Pressure,1,,MMWC,,,,0,400,,Air Path,,
169,,TI_04205,FD FAN A DSCG TEMPERATURE,FD FAN DSCG TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,,,,,,,Outlet,Discharge,1,Secondary Air,Temperature,1,,DEG C,,,,0,400,,Air Path,,
170,,TI-04204,FD FAN A OUTLET TEMPERATURE,FD FAN OUTLET TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan A,1,,,,,,,Outlet,Discharge,1,Secondary Air,Temperature,2,,DEG C,,,,,,,Air Path,,
551,,HRenu_U5_FD_Fan_A_Efficiency,FD FAN A EFFICIENCY,FD FAN EFFICIENCY,Boiler,PCFB,FD Fan,,FD Fan A,1,,,,,,,,,,FD Fan,Efficiency,1,Derived,,,,Low,,,,Performance KPI,,
172,,TI_10205_B,FD FAN B DE TEMPERATURE,FD FAN DE TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Fan,Fan,1,Bearing,Fan Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,0,100,,Mechanical,,
173,,TI_10205_D,FD FAN B NDE TEMPERATURE,FD FAN NDE TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Fan,Fan,1,Bearing,Fan Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,0,100,,Mechanical,,
176,,TI_10205_A,FD FAN B MOTOR DE TEMPERATURE,FD MOTOR DE TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,Bearing,Motor Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
177,,TI_10205_B,FD FAN B MOTOR NDE TEMPERATURE,FD MOTOR NDE TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,Bearing,Motor Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
178,,TI_10205_E,FD FAN B MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
179,,TI_10205_F,FD FAN B MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,2,,DEG C,,,,0,300,,Mechanical,,
180,,TI_10205_G,FD FAN B MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,3,,DEG C,,,,0,300,,Mechanical,,
181,,TI_10205_H,FD FAN B MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,4,,DEG C,,,,0,300,,Mechanical,,
182,,TI_10205_I,FD FAN B MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,5,,DEG C,,,,0,300,,Mechanical,,
183,,TI_10205_J,FD FAN B MOTOR WINDING TEMPERATURE,FD FAN MOTOR WINDING TEMPERATURE,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Metal,Temperature,6,,DEG C,,,,0,300,,Mechanical,,
174,,FDF_B_VFD_I,FD FAN B CURRENT,FD FAN CURRENT,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Power,Current,1,,AMP,,,,0,1000,,Performance KPI,,
175,,FDF_B_VFD_SPD,FD FAN B ROTOR SPEED,FD FAN ROTOR SPEED,Boiler,PCFB,FD Fan,,FD Fan B,2,Motor,Motor,1,,,,,,,Rotor,Speed,1,,RPM,,,,0,950,,Mechanical,,
184,,FICRA_04302_AO_FB,FD FAN B DAMPER POSITION,FD FAN DAMPER POSITION,Boiler,PCFB,FD Fan,,FD Fan B,2,,,,Control Damper,Control Damper,1,,,,Position,Percentage,1,Feedback,%,,,,0,100,,Air Path,,
185,,PI_06102_2,FD FAN B  DISCHARGE PRESSURE,FD FAN  DISCHARGE PRESSURE,Boiler,PCFB,FD Fan,,FD Fan B,2,,,,,,,Outlet,Discharge,1,Secondary Air,Pressure,1,,MMWC,,,,0,400,,Air Path,,
552,,HRenu_U5_FD_Fan_B_Efficiency,FD FAN B EFFICIENCY,FD FAN EFFICIENCY,Boiler,PCFB,FD Fan,,FD Fan B,2,,,,,,,,,,FD Fan,Efficiency,1,Derived,,,,,,,,Performance KPI,,
83,,XIA_03906,BURNER TILT ANGLE,BURNER TILT ANGLE,Boiler,PCFB,Furnace,,Furnace,1,Burner Control,Burner Control,1,,,,Corner,Corner 1,1,Burner,Tilt,1,Feedback,%,,,,0,100,,Fuel Path,,
84,New,XIA_03907,BURNER TILT ANGLE 2,BURNER TILT ANGLE,Boiler,PCFB,Furnace,,Furnace,1,Burner Control,Burner Control,1,,,,Corner,Corner 2,2,Burner,Tilt,1,Feedback,%,,,,0,100,,Fuel Path,,
85,New,XIA_03908,BURNER TILT ANGLE 3,BURNER TILT ANGLE,Boiler,PCFB,Furnace,,Furnace,1,Burner Control,Burner Control,1,,,,Corner,Corner 3,3,Burner,Tilt,1,Feedback,%,,,,0,100,,Fuel Path,,
86,New,XIA_03909,BURNER TILT ANGLE 4,BURNER TILT ANGLE,Boiler,PCFB,Furnace,,Furnace,1,Burner Control,Burner Control,1,,,,Corner,Corner 4,4,Burner,Tilt,1,Feedback,%,,,,0,100,,Fuel Path,,
186,New,PI_06102_19,FURNACE SCANNER AIR DP,AIR DP ACROSS FURNACE SCANNER,Boiler,PCFB,Furnace,,Furnace,1,Scanner Fan,Scanner Fan,1,,,,,,,Scanner Air,Differential Pressure,1,,MMWC,,,,,,,Air Path,,
17,,SAF_LEFT,SEC.AIR FLOW (LEFT),SEC.AIR FLOW (LEFT),Boiler,PCFB,Furnace,,Furnace,1,Windbox,Windbox-L,1,,,,,,,Secondary Air,Flow,1,,TPH,,,,0,150,,Air Path,,
20,New,FICRA_04302,SEC AIR FLOW WINDBOX LEFT,SECONDARY AIR FLOW TO WINDBOX LEFT,Boiler,PCFB,Furnace,,Furnace,1,Windbox,Windbox-L,1,,,,,,,Secondary Air,Flow,2,,TPH,,,,0,150,,Air Path,,
16,,PI_06102_5,SEC AIR WINDBOX LEFT PRESSURE,SECONDARY AIR PRESSURE TO WINDBOX LEFT,Boiler,PCFB,Furnace,,Furnace,1,Windbox,Windbox-L,1,,,,,,,Secondary Air,Pressure,1,,MMWC,,,,0,200,,Air Path,,
18,New,TI_04207,SEC AIR WINDBOX LEFT TEMP,SECONDARY AIR TEMPERATURE TO WINDBOX LEFT,Boiler,PCFB,Furnace,,Furnace,1,Windbox,Windbox-L,1,,,,,,,Secondary Air,Temperature,1,,DEG C,,,,0,200,,Air Path,329,
22,,SAF_RIGHT,SEC.AIR FLOW (RIGHT),SEC.AIR FLOW (RIGHT),Boiler,PCFB,Furnace,,Furnace,1,Windbox,Windbox-R,2,,,,,,,Secondary Air,Flow,1,,TPH,,,,0,150,,Air Path,,
19,New,FICRA_04301,SEC AIR FLOW WINDBOX RIGHT,SECONDARY AIR FLOW TO WINDBOX RIGHT,Boiler,PCFB,Furnace,,Furnace,1,Windbox,Windbox-R,2,,,,,,,Secondary Air,Flow,2,,TPH,,,,0,150,,Air Path,,
21,,PI_06102_6,SEC AIR PRESSURE AT WINDBOX RIGHT,SECONDARY AIR PRESSURE TO WINDBOX PRESSURE RIGHT,Boiler,PCFB,Furnace,,Furnace,1,Windbox,Windbox-R,2,,,,,,,Secondary Air,Pressure,1,,MMWC,,,,0,200,,Air Path,,
23,New,TI_04206,SEC AIR WINDBOX RIGHT TEMP,SECONDARY AIR TEMPERATURE TO WINDBOX PRESSURE RIGHT,Boiler,PCFB,Furnace,,Furnace,1,Windbox,Windbox-R,2,,,,,,,Secondary Air,Temperature,1,,DEG C,,,,0,200,,Air Path,329,
187,New,TI_06218_4,COMBINED SOOT BLOWER DRAIN TEMP,SOOTBLOWER DRAIN TEMPERATURE AT FURNACE,Boiler,PCFB,Furnace,,Furnace,1,,,,Sootblower Drain,Sootblower Drain,1,,,,Water,Temperature,1,,DEG C,,,,,,,Steam Path,,
188,,PI_06103_S,FURNACE DRAFT PRESSURE,FURNACE DRAFT PRESSURE,Boiler,PCFB,Furnace,,Furnace,1,,,,,,,,,,Furnace,Pressure,1,,MMWC,,,,-25,25,AUTO,Flue Gas Path,,
189,New,PI_06104_1_1,FURNACE DRAFT 1,FURNACE DRAFT PRESSURE,Boiler,PCFB,Furnace,,Furnace,1,,,,,,,,,,Furnace,Pressure,2,,MMWC,,,,-25,25,AUTO,Flue Gas Path,,
190,New,PI_06104_2_2,FURNACE DRAFT 2,FURNACE DRAFT PRESSURE,Boiler,PCFB,Furnace,,Furnace,1,,,,,,,,,,Furnace,Pressure,3,,MMWC,,,,-25,25,AUTO,Flue Gas Path,,
191,New,PI_06104_7_3,FURNACE DRAFT 3,FURNACE DRAFT PRESSURE,Boiler,PCFB,Furnace,,Furnace,1,,,,,,,,,,Furnace,Pressure,4,,MMWC,,,,-25,25,AUTO,Flue Gas Path,,
255,New,TI_10208_C,ID FAN A FAN BRNG DE TEMP,ID FAN FAN BEARING DE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan A,1,Fan,Fan,1,Bearing,Fan Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
256,New,TI_10208_D,ID FAN A FAN BRNG NDE TEMP,ID FAN FAN BEARING NDE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan A,1,Fan,Fan,1,Bearing,Fan Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
259,New,TI_10208_A,ID FAN A MOTOR BRNG DE TEMP,ID FAN MOTOR BEARING DE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,Bearing,Motor Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
260,New,TI_10208_B,ID FAN A MOTOR BRNG NDE TEMP,ID FAN MOTOR BEARING NDE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,Bearing,Motor Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
261,New,TI_10208_E,ID FAN A WNDG TEMP R-PH,ID FAN WINDING TEMPERATURE R-PHASE,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,Phase,R-Phase,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
262,New,TI_10208_F,ID FAN A WNDG TEMP R_PH,ID FAN WINDING TEMPERATURE R-PHASE,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,Phase,R-Phase,1,Metal,Temperature,2,,DEG C,,,,,,,Mechanical,,
263,New,TI_10208_G,ID FAN A WNDG TEMP Y_PH,ID FAN WINDING TEMPERATURE Y-PHASE,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,Phase,Y-Phase,2,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
264,New,TI_10208_H,ID FAN A WNDG TEMP Y_PH,ID FAN WINDING TEMPERATURE Y-PHASE,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,Phase,Y-Phase,2,Metal,Temperature,2,,DEG C,,,,,,,Mechanical,,
265,New,TI_10208_I,ID FAN A WNDG TEMP B_PH,ID FAN WINDING TEMPERATURE B-PHASE,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,Phase,B-Phase,3,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
266,New,TI_10208_J,ID FAN A WNDG TEMP B_PH,ID FAN WINDING TEMPERATURE B-PHASE,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,Phase,B-Phase,3,Metal,Temperature,2,,DEG C,,,,,,,Mechanical,,
257,,IDF_A_VFD_I,ID FAN A ELECTRICALS CURRENT,ID FAN ELECTRICALS CURRENT,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Power,Current,1,,AMP,,,,0,1000,,Performance KPI,,
258,,IDF_A_VFD_SPD,ID FAN A SPEED ROTOR,ID FAN SPEED ROTOR,Boiler,PCFB,ID Fan,,ID Fan A,1,Motor,Motor,1,,,,,,,Rotor,Speed,1,,RPM,,,,0,750,,Mechanical,,
267,,PI_06102_13,ID FAN A DISCHARGE PRESSURE,ID FAN DISCHARGE PRESSURE,Boiler,PCFB,ID Fan,,ID Fan A,1,,,,,,,Outlet,Discharge,1,Flue Gas,Pressure,1,,MMWC,,,,0,50,,Flue Gas Path,,
268,,TI_06216,ID FAN A DISCHARGE TEMPERATURE,ID DISCHARGE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan A,1,,,,,,,Outlet,Discharge,1,Flue Gas,Temperature,1,,DEG C,,,,0,150,,Flue Gas Path,,
553,,HRenu_U5_ID_Fan_A_Efficiency,ID FAN A EFFICIENCY,ID FAN EFFICIENCY,Boiler,PCFB,ID Fan,,ID Fan A,1,,,,,,,,,,ID Fan,Efficiency,1,Derived,,,,,,,,Performance KPI,,
269,New,TI_10209_C,ID FAN B FAN BRNG DE TEMP,ID FAN FAN BEARING DE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan B,2,Fan,Fan,1,Bearing,Fan Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
270,New,TI_10209_D,ID FAN B FAN BRNG NDE TEMP,ID FAN FAN BEARING NDE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan B,2,Fan,Fan,1,Bearing,Fan Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
273,New,TI_10209_A,ID FAN B MOTOR BRNG DE TEMP,ID FAN MOTOR BEARING DE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,Bearing,Motor Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
274,New,TI_10209_B,ID FAN B MOTOR BRNG NDE TEMP,ID FAN MOTOR BEARING NDE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,Bearing,Motor Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
275,New,TI_10209_E,ID FAN B WNDG TEMP R-PH,ID FAN WINDING TEMPERATURE R-PHASE,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,R-Phase,1,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
276,New,TI_10209_F,ID FAN B WNDG TEMP R_PH,ID FAN WINDING TEMPERATURE R-PHASE,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,R-Phase,1,Metal,Temperature,2,,DEG C,,,,,,,Mechanical,,
277,New,TI_10209_G,ID FAN B WNDG TEMP Y-PH,ID FAN WINDING TEMPERATURE Y-PHASE,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,Y-Phase,2,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
278,New,TI_10209_H,ID FAN B WNDG TEMP Y-PH,ID FAN WINDING TEMPERATURE Y-PHASE,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,Y-Phase,2,Metal,Temperature,2,,DEG C,,,,,,,Mechanical,,
279,New,TI_10209_I,ID FAN B WNDG TEMP B-PH,ID FAN WINDING TEMPERATURE B-PHASE,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,B-Phase,3,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
280,New,TI_10209_J,ID FAN B WNDG TEMP B-PH,ID FAN WINDING TEMPERATURE B-PHASE,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,B-Phase,3,Metal,Temperature,2,,DEG C,,,,,,,Mechanical,,
271,,IDF_B_VFD_I,ID FAN B ELECTRICALS CURRENT,ID FAN ELECTRICALS CURRENT,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Power,Current,1,,AMP,,,,0,1000,,Performance KPI,,
272,,IDF_B_VFD_SPD,ID FAN B SPEED ROTOR,ID FAN SPEED ROTOR,Boiler,PCFB,ID Fan,,ID Fan B,2,Motor,Motor,1,,,,,,,Rotor,Speed,1,,RPM,,,,0,750,,Mechanical,,
281,,PI_06102_14,ID FAN B DISCHARGE PRESSURE,ID FAN DISCHARGE PRESSURE,Boiler,PCFB,ID Fan,,ID Fan B,2,,,,,,,Outlet,Discharge,1,Flue Gas,Pressure,1,,MMWC,,,,0,50,,Flue Gas Path,,
282,,TI_06217,ID FAN B DISCHARGE TEMPERATURE,ID DISCHARGE TEMPERATURE,Boiler,PCFB,ID Fan,,ID Fan B,2,,,,,,,Outlet,Discharge,1,Flue Gas,Temperature,1,,DEG C,,,,0,150,,Flue Gas Path,,
554,,HRenu_U5_ID_Fan_B_Efficiency,ID FAN B EFFICIENCY,ID FAN EFFICIENCY,Boiler,PCFB,ID Fan,,ID Fan B,2,,,,,,,,,,ID Fan,Efficiency,1,Derived,,,,,,,,Performance KPI,,
